super_opeid,name,tier,tier_name,state,female,par_mean,k_mean
2699,Clarkson University,6,Selective private,NY,0.2659511,121016.7812639760,77578.30431946930
6787,Clinton Community College - SUNY Office Of Community Colleges,9,Two-year (public and private not-for-profit),NY,0.51851851,72551.9174281189,32855.33664565060
2701,Colgate University,2,Other elite schools (public and private),NY,0.51829267,522975.6131383380,103263.2928615660
212,College Of Mount Saint Vincent And Manhattan College,6,Selective private,NY,0.55054152,130125.5442708330,72427.47135416670
2704,College Of New Rochelle ,6,Selective private,NY,0.9009009,53121.07918074320,35398.47237471850
2705,College Of Saint Rose,6,Selective private,NY,0.74279213,100367.3220492700,46203.08564112290
2698,College Of Staten Island/CUNY,5,Selective public,NY,0.51493633,85456.88343803560,47236.16372964620
5208,College Of Westchester ,10,Four-year for-profit,NY,0.46590909,73597.453125,39347.86197916670
6789,Columbia - Greene Community College - SUNY Office Of Cmnty Colleg,9,Two-year (public and private not-for-profit),NY,0.52782464,73355.765625,36721.47916666670
2707,Columbia University In The City Of New York,1,Ivy Plus,NY,0.45593357,372277.272175529,128030.6852439390
2710,Cooper Union For The Advancement Of Science & Art ,2,Other elite schools (public and private),NY,0.35946462,143460.5723888620,81825.16794634320
2711,Cornell University,1,Ivy Plus,NY,0.48373455,279239.9711559320,117283.2229400480
2863,Corning Community College - SUNY Office Of Community Colleges,9,Two-year (public and private not-for-profit),NY,0.5078631,74179.11330654490,32507.85427537440
7304,Culinary Institute Of America,8,Nonselective four-year private not-for-profit,NY,0.30759573,137637.9390105150,44433.13783937540
2712,D'Youville College,6,Selective private,NY,0.78637773,77711.34280669500,48269.36361987230
2808,Daemen College,6,Selective private,NY,0.76196808,89060.24740275930,47045.15766289890
2713,Dominican College Of Blauvelt,6,Selective private,NY,0.58928573,96784.109375,54790.13411458330
2667,Dowling College,6,Selective private,NY,0.57090908,95406.83612689390,48724.50428977270
2864,Dutchess Community College,9,Two-year (public and private not-for-profit),NY,0.49441412,88697.6316494544,36703.08626631920
2718,Elmira College,6,Selective private,NY,0.73498964,126658.8958333330,47371.37109375
21732,"Empire Beauty School of New York, NY",12,Less than two-year schools of any type,NY,0.96836984,68715.578125,17833.28125
10684,Erie Community College,9,Two-year (public and private not-for-profit),NY,0.46425045,79686.81532929070,33811.91746084390
2866,Fashion Institute Of Technology,5,Selective public,NY,0.83393103,131569.6544827590,44520.66073599140
7532,Finger Lakes Community College - SUNY Office Of Community College,9,Two-year (public and private not-for-profit),NY,0.50633913,76683.69178077950,31572.32194448920
2722,Fordham University,4,Highly selective private,NY,0.59130019,187958.3809938160,80400.70417811900
33283,Franklin Career Institute,12,Less than two-year schools of any type,NY,0.91666669,39662.83984375,17383.013671875
6782,Genesee Community College,9,Two-year (public and private not-for-profit),NY,0.5535484,69917.05681115590,30779.48270413310
2728,Hamilton College,2,Other elite schools (public and private),NY,0.52515244,333233.7668635670,88339.8784001048
2729,Hartwick College,6,Selective private,NY,0.56262833,140480.0930120640,55241.05905094970
4788,Herkimer County Community College - SUNY Office Of Community Coll,9,Two-year (public and private not-for-profit),NY,0.46283233,66034.76562076100,32145.91381875680
2735,Hilbert College,6,Selective private,NY,0.58356941,73850.66202638100,41604.8688805772
2731,Hobart And William Smith Colleges,6,Selective private,NY,0.59139782,260255.515625,63983.20833333330
2732,Hofstra University,6,Selective private,NY,0.54631382,163606.0186082230,70139.24529625470
2734,Houghton College,6,Selective private,NY,0.63298488,98574.10917537750,41438.13359284260
2868,Hudson Valley Community College,9,Two-year (public and private not-for-profit),NY,0.42446524,83670.62140578,38032.59680045230
22949,Institute Of Audio Research,12,Less than two-year schools of any type,NY,0.10682493,63625.13151041670,27851.08658854170
2737,Iona College,6,Selective private,NY,0.47277629,130628.6377274260,65826.71273795490
2739,Ithaca College,6,Selective private,NY,0.55750489,196699.099959643,60694.34316368180
2869,Jamestown Community College,9,Two-year (public and private not-for-profit),NY,0.50822371,66000.86933336760,30463.11024234170
2870,Jefferson Community College,9,Two-year (public and private not-for-profit),NY,0.53543305,65559.48715089810,32183.57436100520
2744,Keuka College,6,Selective private,NY,0.69565219,72568.87698578600,42738.32154055190
2694,Kingsborough Commmunity College/CUNY,9,Two-year (public and private not-for-profit),NY,0.50594991,56519.94413277080,37527.93571838450
2748,Le Moyne College,6,Selective private,NY,0.60908192,103118.671875,57473.7890625
7466,Lim College,10,Four-year for-profit,NY,0.95754719,109684.0965507080,42267.19853699880
122,Long Island University System,6,Selective private,NY,0.65096402,104866.2597629080,46372.92350396290
2760,Manhattanville College,6,Selective private,NY,0.68545657,158690.2926648820,57159.67571519170
2765,Marist College,6,Selective private,NY,0.56272399,150139.7227542560,69629.6628220206
2769,Marymount Manhattan College,6,Selective private,NY,0.73212671,182420.3035067870,44779.54585336540
2777,Medaille College,6,Selective private,NY,0.67467248,82225.44793941050,39134.71666894110
2772,Mercy College,6,Selective private,NY,0.65295774,69242.90863776410,35252.92735145250
54,Midred Elley College And Austin's School Of Spa Technology,11,Two-year for-profit,NY,0.81434602,51268.00130208330,17774.58528645830
2871,Mohawk Valley Community College - SUNY Office Of Community Colleg,9,Two-year (public and private not-for-profit),NY,0.47329155,67192.78970596460,32302.19059026220
4799,Monroe College,10,Four-year for-profit,NY,0.65457809,33202.24348490800,25011.07516410460
2872,Monroe Community College,9,Two-year (public and private not-for-profit),NY,0.48521844,86939.69084848150,33958.08163524840
2778,Mount Saint Mary College,6,Selective private,NY,0.7053892,109246.9207522460,51703.11800617520
2873,Nassau Community College,9,Two-year (public and private not-for-profit),NY,0.44986194,96741.19955189840,42518.75171751730
2779,Nazareth College Of Rochester,6,Selective private,NY,0.74024737,125568.3928252850,47696.97700478710
20662,"New School, The",8,Nonselective four-year private not-for-profit,NY,0.64910251,255928.3885893170,44456.6354317458
2696,New York City College Of Technology Of The City University Of New,5,Selective public,NY,0.4450168,44382.75898831190,39930.48504251820
2782,New York Institute Of Technology,6,Selective private,NY,0.374477,109147.5257175080,58599.50690029260
2785,New York University,2,Other elite schools (public and private),NY,0.59816337,294568.574104516,88411.62977693700
2874,Niagara County Community College,9,Two-year (public and private not-for-profit),NY,0.50863421,77415.73787038850,33488.00122031990
2788,Niagara University,6,Selective private,NY,0.58451176,115038.437037037,50323.59811132160
7111,North Country Community College,9,Two-year (public and private not-for-profit),NY,0.58293837,68275.6875,31146.67057291670
2790,Nyack College,6,Selective private,NY,0.59517765,75695.48290767770,34110.97461433220
2875,Onondaga Community College,9,Two-year (public and private not-for-profit),NY,0.50099182,87773.75157386490,33661.75638586210
2876,Orange County Community College,9,Two-year (public and private not-for-profit),NY,0.53723723,85847.29043496620,39148.96184426610
2791,Pace University,6,Selective private,NY,0.59507388,104767.8294469670,68356.63617803260
2795,Paul Smith's College Of Arts & Sciences,8,Nonselective four-year private not-for-profit,NY,0.29100528,79745.361328125,36066.52627934860
12358,Plaza College,10,Four-year for-profit,NY,0.6572327,35951.21875,23151.0234375
2798,Pratt Institute,8,Nonselective four-year private not-for-profit,NY,0.54695338,152508.3821572580,43855.90150649640
2697,Queensborough Community College-CUNY,9,Two-year (public and private not-for-profit),NY,0.49352968,56888.64031037340,36886.53735602130
2803,Rensselaer Polytechnic Institute,2,Other elite schools (public and private),NY,0.24807158,150922.568685398,95497.06490087940
2805,Roberts Wesleyan College,6,Selective private,NY,0.65960664,83303.72860722390,36986.63067322240
2806,Rochester Institute Of Technology,6,Selective private,NY,0.30209047,133154.3293177580,71161.22355583880
2877,Rockland Community College,9,Two-year (public and private not-for-profit),NY,0.46340057,109559.152307727,42396.11572293770
2844,SUNY At Fredonia,5,Selective public,NY,0.60438412,101748.1819165360,46205.74390005220
2841,SUNY College At Brockport,5,Selective public,NY,0.58733332,95850.6148046875,46682.55576171880
2842,SUNY College At Buffalo,5,Selective public,NY,0.63069475,86251.4403874217,39032.93719079230
2843,SUNY College At Cortland,5,Selective public,NY,0.60479039,103357.9844399740,53314.99519710580
2845,SUNY College At Geneseo,3,Highly selective public,NY,0.64848125,120864.9843012750,59733.86832331910
7109,SUNY College At Old Westbury,5,Selective public,NY,0.61885792,69919.75049800800,43163.66776124670
2847,SUNY College At Oneonta,5,Selective public,NY,0.60468799,102749.8294538920,50531.29743798500
2848,SUNY College At Oswego,5,Selective public,NY,0.55968404,96784.398266073,47580.91374478860
6791,SUNY College At Purchase,5,Selective public,NY,0.54685575,133839.5060351800,42234.58386877700
2856,SUNY College Of Agriculture & Technology At Cobleskill,5,Selective public,NY,0.39403552,81138.73206000160,36901.37912436550
2859,SUNY College Of Agriculture & Technology At Morrisville,7,Nonselective four-year public,NY,0.39360082,67333.40901948960,33788.35425263460
2854,SUNY College Of Technology At Alfred,5,Selective public,NY,0.2629723,78080.47747559820,40441.84932501570
2855,SUNY College Of Technology At Canton,7,Nonselective four-year public,NY,0.40577507,56837.88630319150,33478.70619271230
2857,SUNY College Of Technology At Delhi,7,Nonselective four-year public,NY,0.39236546,76675.65683667080,37019.82129517370
10286,SUNY Empire State College,7,Nonselective four-year public,NY,0.44645798,91579.67740939040,47681.35118925040
2867,SUNY Fulton-Montgomery Community College,9,Two-year (public and private not-for-profit),NY,0.53453946,72228.89322916670,33516.16471354170
2853,SUNY Maritime College,5,Selective public,NY,0.13333334,110698.2106884060,94409.77946105070
213,SUNY Upstate Medical University And SUNY College Of Environment Science And Forestry,5,Selective public,NY,0.44272447,103874.8842395510,52388.42269736840
2881,SUNY Westchester Community College,9,Two-year (public and private not-for-profit),NY,0.4581016,99770.02672819340,40454.61259762000
2810,Sage Colleges,6,Selective private,NY,0.81325299,93660.5540129267,36167.82833678460
2820,Saint Francis College,6,Selective private,NY,0.55200732,84568.40461764370,56786.8439638458
2821,Saint John Fisher College,6,Selective private,NY,0.56915885,111440.9835134350,53154.37406907130
2823,"Saint John's University of Queens, NY",6,Selective private,NY,0.56248236,92221.36442172070,66248.34193461300
2825,"Saint Joseph's College of Brooklyn, NY",6,Selective private,NY,0.76607281,104005.5193103700,58466.8146089514
2813,Sarah Lawrence College,4,Highly selective private,NY,0.73170733,311431.3333333330,38304.24869791670
6785,Schenectady County Community College,9,Two-year (public and private not-for-profit),NY,0.48245126,75154.88710393450,32158.34222884750
7468,School Of Visual Arts,10,Four-year for-profit,NY,0.48340639,160404.3145154980,48098.04973191920
2816,Siena College,6,Selective private,NY,0.53573263,149412.5264861830,75221.96860941520
2814,Skidmore College,4,Highly selective private,NY,0.58233172,396263.5642089840,67046.8505037748
2817,St. Bonaventure University,6,Selective private,NY,0.50583243,140831.3854166670,58761.8671875
2829,St. Lawrence University,4,Highly selective private,NY,0.53267044,184452.8575994320,64926.40727650040
2835,State University Of New York At Albany,5,Selective public,NY,0.50775719,114246.3984975150,66145.13686761000
2837,State University Of New York At Buffalo,5,Selective public,NY,0.46327883,108683.0445678970,61568.17861955110
2858,State University Of New York At Farmingdale,5,Selective public,NY,0.3914969,99907.11220867470,48273.66423030610
2846,State University Of New York At New Paltz,5,Selective public,NY,0.64093429,103260.959929236,49604.73059864910
2838,State University Of New York At Stony Brook,3,Highly selective public,NY,0.49581456,91836.9761701143,65407.72770318540
2849,State University Of New York College At Plattsburgh,5,Selective public,NY,0.59097862,99921.84863878540,47357.6823558749
2850,State University Of New York College At Potsdam,5,Selective public,NY,0.61796534,93040.30275551270,40186.42619766300
11678,State University Of New York Institute Of Technology At Utica,5,Selective public,NY,0.45774648,82847.17520356510,52789.71029104310
2878,Suffolk County Community College,9,Two-year (public and private not-for-profit),NY,0.5056594,92821.4209818099,39668.30663668350
2879,Sullivan County Community College - SUNY Office Of Community Coll,9,Two-year (public and private not-for-profit),NY,0.49736565,57085.83664136590,29504.23456640210
2882,Syracuse University,4,Highly selective private,NY,0.55216485,231041.5665611140,73173.13991486530
11031,Technical Career Institutes,11,Two-year for-profit,NY,0.26156583,38723.66842517420,36025.34340015200
6788,Tompkins Cortland Community College,9,Two-year (public and private not-for-profit),NY,0.52670038,70535.23826587970,29687.31193020130
2812,Trocaire College,8,Nonselective four-year private not-for-profit,NY,0.90303028,66215.94010416670,38036.40234375
2880,Ulster County Community College,9,Two-year (public and private not-for-profit),NY,0.50482094,79104.46184142560,32853.25657767300
2889,"Union College of Schenectady, NY",4,Highly selective private,NY,0.49793389,290078.2196539260,83839.20732179750
11189,United Talmudical Seminary,8,Nonselective four-year private not-for-profit,NY,0.013761468,52691.84635416670,25725.34765625
2894,University Of Rochester,2,Other elite schools (public and private),NY,0.45448416,199434.7157893630,78104.43809002020
2883,Utica College,6,Selective private,NY,0.58357489,80905.81586654590,53270.72143719810
2895,Vassar College,2,Other elite schools (public and private),NY,0.60714287,285792.7960882610,61132.69008891980
2665,Vaughn College Of Aeronautics And Technology,8,Nonselective four-year private not-for-profit,NY,0.099518456,42817.99932283310,56313.27651610150
2899,Wagner College,6,Selective private,NY,0.58172232,145977.598075022,65155.1619171518
2901,Wells College,6,Selective private,NY,0.95625001,101919.3619791670,41711.38671875
7405,Wood Tobe - Coburn School,11,Two-year for-profit,NY,0.82558137,42822.66666666670,29297.94986979170
11859,Word Of Life Bible Institute,9,Two-year (public and private not-for-profit),NY,0.50872481,79461.01014052010,26863.55847053270
2903,Yeshiva University,6,Selective private,NY,0.46747753,325796.8373049970,69211.41502305330
